Frame,Sensor,Position X,Position Y,Position Z,Quaternion W,Quaternion X,Quaternion Y,Quaternion Z
1,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
1,KALMAN,-1.216900110244751,6.117029666900635,0.6088443994522095,0.5932053923606873,-0.3855118453502655,-0.3862040638923645,0.5918905735015869
2,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
2,KALMAN,-1.226831316947937,6.172574996948242,0.6064789295196533,0.593232274055481,-0.3854916989803314,-0.3861828148365021,0.5918905735015869
3,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
3,KALMAN,-1.2402749061584473,6.229781150817871,0.60394287109375,0.589050829410553,-0.39181649684906006,-0.3925521969795227,0.5877088904380798
4,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
4,KALMAN,-1.2574803829193115,6.2885613441467285,0.6011884212493896,0.5852977633476257,-0.39732611179351807,-0.3981451392173767,0.5839853882789612
5,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
5,KALMAN,-1.278456211090088,6.348672866821289,0.5982023477554321,0.5837711691856384,-0.39952176809310913,-0.40040305256843567,0.5824697017669678
6,COLMAP,-1.2927017211914062,6.162652015686035,1.1171722412109375,0.851171612739563,0.04025193303823471,0.08718783408403397,-0.516028106212616
6,KALMAN,-1.3029413223266602,6.409717559814453,0.5950124859809875,0.5816642642021179,-0.4025745987892151,-0.40342745184898376,0.5803849101066589
7,COLMAP,-1.3082046508789062,6.199159622192383,1.1223063468933105,0.8522881865501404,0.03914179652929306,0.08549801260232925,-0.5145511627197266
7,KALMAN,-1.3304122686386108,6.471161842346191,0.5916874408721924,0.5813182592391968,-0.40308040380477905,-0.40393465757369995,0.5800276398658752
8,COLMAP,-1.3237075805664062,6.235670566558838,1.1274423599243164,0.8533984422683716,0.038031309843063354,0.08380750566720963,-0.5130702257156372
8,KALMAN,-1.3601285219192505,6.532376289367676,0.5883274078369141,0.584276556968689,-0.398851603269577,-0.3996969163417816,0.5829070806503296
9,COLMAP,-1.339202880859375,6.2721781730651855,1.1325774192810059,0.854502260684967,0.03692053258419037,0.08211632817983627,-0.5115854144096375
9,KALMAN,-1.3912084102630615,6.592700004577637,0.5850492715835571,0.5825974345207214,-0.40129420161247253,-0.40214791893959045,0.5812230706214905
10,COLMAP,-1.354705810546875,6.308685302734375,1.1377110481262207,0.8555996417999268,0.0358094796538353,0.08042455464601517,-0.5100968480110168
10,KALMAN,-1.4227268695831299,6.651500701904297,0.581969141960144,0.5787439942359924,-0.4067929685115814,-0.40768542885780334,0.5773797631263733
11,COLMAP,-1.3702011108398438,6.3451948165893555,1.1428465843200684,0.8566905856132507,0.03469816595315933,0.0787321925163269,-0.5086044073104858
11,KALMAN,-1.453812837600708,6.708243370056152,0.5791854858398438,0.5779999494552612,-0.40783369541168213,-0.4087831974029541,0.576614260673523
12,COLMAP,-1.385711669921875,6.381704330444336,1.1479816436767578,0.857775092124939,0.03358663246035576,0.07703929394483566,-0.5071082711219788
